sensor_index,name,latitude,longitude
1660,NJF55F,40.721,-74.1928
2205,Duke Farms,40.544743,-74.62279
2233,"Wyndwood, Morris County, NJ",40.741486,-74.5456
2808,Lake Owassa Bear Swamp,41.14675,-74.83539
2853,@LBIWeather,39.576454,-74.23154
3305,Allendale,41.04322,-74.13172
3343,"Hopewell Township, NJ",40.312866,-74.78666
3352,Pingry School Basking Ridge - Athletic Entrance,40.619335,-74.5682
3359,Pingry School Basking Ridge - Roof,40.619423,-74.568474
3771,Laureldale,39.520634,-74.68271
4486,Beach Arlington/knjshipb2,39.64394,-74.179474
5444,Outside - Palisades Park,40.844254,-73.98846
5476,Inside - Palisades Park,40.844254,-73.98846
5480,Wyckoff,40.995197,-74.16578
7654,"Wyndwood, Harding Township, NJ",40.741478,-74.545555
7670,Lexington Ave Ewing NJ,40.25226,-74.79116
8636,Petticoat Lane,40.673313,-74.853874
11308,NJ7347,40.70923,-74.19507
11312,NJ1da4,40.46212,-74.429436
12850,Wyndwood Outdoor,40.74149,-74.54563
13005,"Allendale, NJ",41.0434,-74.13089
14919,Smokey,40.689564,-74.395935
17749,Beach Arlington/Knjshipb2,39.64385,-74.17932
18011,GW Elmora 82,40.663353,-74.23628
20105,South Jersey Medical Transportation,39.5761,-75.47567
21327,Donald Oral,39.246834,-74.6839
21605,ICC Air Monitor,40.7324,-74.141754
21745,Forest Hill Newark,40.769547,-74.16863
22479,Somerset,40.529907,-74.57553
22749,"Hoboken, NJ ",40.74699,-74.0259
23169,Wyndwood Kitchen,40.74148,-74.545715
23203,Wyndwood Studio,40.741394,-74.54562
23619,Hi Lo Acres,41.06779,-74.43961
24363,TFamily-NJ,40.529785,-74.57555
24763,Petticoat Ln,40.67309,-74.85377
26547,margate,39.325073,-74.50304
28285,Southwest Hoboken,40.736893,-74.04125
28531,"Shrewsbury, NJ",40.31684,-74.05578
29357,EOHSI 3,40.650017,-74.18334
29365,Bayway EF,40.64674,-74.21431
30963,ASW-Montague,41.291405,-74.79037
44275,Piscataway,40.574104,-74.47175
46745,Bordentown City,40.14807,-74.713356
47243,Hoboken,40.750286,-74.04257
47699,Trudy Drive Lodi NJ,40.88606,-74.073456
50925,"ItsPorkRoll.com (Southard, NJ)",40.130207,-74.21473
51845,Princeton,40.357117,-74.64863
52789,Bayway  63-Replacement,40.64674,-74.21431
53443,Crown View Villas,40.800728,-74.2435
55315,Lamont SSFRP K.O. sBA,41.048473,-74.04257
55339,121 park dr kenilworth nj 07033,40.673157,-74.303566
55387,Ship bottom,39.643677,-74.17944
55511,FC1 P3-838 Mcgillivray,40.64454,-74.22246
55523,"closter, nj",40.968437,-73.94615
55547,FCI-3 Magnolia Ave,40.665787,-74.199875
56057,Bonnell House,40.663548,-74.2088
56295,FCI 07202,40.654358,-74.202324
56329,FCI P5,40.66357,-74.20901
56523,LBIWeather,39.576527,-74.23153
56605,"Closter, NJ",40.968353,-73.94608
59027,North Princeton,40.372246,-74.65139
68313,Dodd House,40.82101,-74.20403
75605,EDIS 2nd floor,40.78518,-74.239944
75669,EDIS dining room,40.7956,-74.23374
75743,Princeton University,40.350372,-74.65047
75951,EDIS 3rd floor,40.794285,-74.23389
75971,Small Home Sensor,40.80728,-74.20113
78071,EDIS front porch,40.78581,-74.238235
87555,BET5049B,40.5862,-74.6223
87733,Somerset Home,40.448208,-74.552734
87987,Delran,40.01691,-74.940796
90145,Crown View Villas,40.8008,-74.24332
94315,"Raritan, NJ",40.57486,-74.65635
94957,Bonnell House,40.663574,-74.209015
95823,Outdoor_QY,40.994373,-74.116486
96583,Old Bridge Township,40.4202,-74.2666
96741,McGillvery Place,40.663544,-74.20889
96849,Magie Avenue Roselle Park,40.664932,-74.25562
96909,Rancocas_Heights,39.981155,-74.84626
97217,1126 US 202,40.574978,-74.656334
97935,Brookside Rd,40.5406,-74.43156
98033,Palmyra Cove Institute for Earth Observations,40.008556,-75.041374
98723,Beach JC,40.745167,-74.05944
98789,The name that appears on the map,40.763786,-74.29301
98909,Newark Beth Israel Medical Center,40.70973,-74.21211
98963,Brown's Chapel FWB Church,40.70935,-74.22198
98971,S28E7,40.70376,-74.21527
99355,Club Eclipse,40.71593,-74.2219
99359,Hawthorne deli,40.72058,-74.21715
99365,S7E7C,40.721146,-74.19263
99379,S9B3F,40.72086,-74.19313
99439,Weequahic Park Community Center,40.70123,-74.19895
99449,Clinton Hill Early Childhood Center,40.71819,-74.21154
103216,MexiHouse_01,40.413715,-74.932724
104722,Cooper Plaza,39.940983,-75.117874
104742,Center For Environmental Transformation,39.92167,-75.12073
104882,Camden Waterfront Downtown,39.949615,-75.123764
106596,NJ1daf,40.72102,-74.19281
106598,NJ6e5a,40.46218,-74.429436
110490,Innovation High School,40.71042,-74.08446
112218,VILLAGE PL,41.004646,-74.16819
114593,Montgomery and JFK Blvd,40.7282,-74.0776
118639,NGT Monitor 8,40.72863,-74.19404
118651,NGT Monitor 7,40.699417,-74.219475
118655,NGT Monitor 9,40.711395,-74.21075
118659,NGT Monitor 1,40.73445,-74.18464
118665,Firehouse1,40.72157,-74.19259
118669,NGT Monitor 6,40.70612,-74.20901
118671,NGT Monitor 3,40.707005,-74.21966
118697,Firehouse2,40.721546,-74.19341
118701,NGT Monitor 4,40.706123,-74.2213
118711,NGT Monitor 2,40.707752,-74.220856
118717,NGT Monitor 13,40.708534,-74.20626
119801,NGT Monitor 10,40.734028,-74.20831
120223,NGT Monitor 5,40.70745,-74.214836
120319,Heart of Camden,39.92104,-75.11967
120339,Cooper Plaza,39.940563,-75.11838
120899,NGT Monitor 12,40.742935,-74.18052
121261,NGT Monitor 11,40.733772,-74.2079
125083,South Mountain,40.719955,-74.297295
125551,McClellan_Ct,40.52911,-74.488976
127785,Cherry Tree Ln,39.940228,-74.99005
128527,"Pennington, NJ",40.269527,-74.81342
129979,NJ5461,40.222378,-74.762535
129981,Dep29eb,40.220467,-74.75723
130077,NJF180,40.214325,-74.759865
130085,EZ Ride TMA Test,40.226963,-74.755615
130133,Test DEP FA58,40.220844,-74.75718
130151,NJF675,40.2708,-74.7803
131195,NJ48D9,40.2219,-74.76362
131197,NJ2348,40.218304,-74.760216
131281,NJ1F53,40.232094,-74.77151
131343,NJ41E0,40.222046,-74.76284
131429,Hawthorne Deli,40.720783,-74.21691
131441,test sensor 1,40.22,-74.760895
131447,NJ54CC,40.72151,-74.19329
131449,NJ43A4,40.23233,-74.74416
131455,NJ4E24,40.23745,-74.74114
131457,DEPtest1,40.24092,-74.740585
131483,Test Sensor North NJ 1,40.764168,-74.02992
133431,Stewart Lake Woodbury,39.834873,-75.13968
138080,Lambertville,40.40303,-74.90479
138860,87 castle pointe blvd,40.536484,-74.45973
139120,Schell household indoor,40.30846,-74.76948
140082,377 S. Harrison 11J,40.75787,-74.23143
145054,Rider Station,40.283077,-74.74266
145142,Rider U-06,40.283085,-74.742615
145144,Rider U-03,40.28307,-74.7426
145154,Rider U-08,40.283104,-74.74263
145156,Rider U-02,40.28308,-74.74261
145348,Rider U-09,40.283085,-74.74262
145984,Rider U-05,40.28308,-74.74262
146058,Rider U-04,40.283077,-74.742584
146208,Rider U-01,40.283077,-74.74262
146290,Rider Staton,40.283092,-74.74263
146650,Zion,40.439114,-74.741745
147552,BAZ_Systems,39.896004,-74.91214
148289,Jaeger industries,40.984203,-74.03071
148295,778 Carver,40.984726,-74.01201
150638,GWE 8,40.721165,-74.19258
151394,GWE 6,40.721138,-74.192795
151738,GWE-EDC-1,40.65011,-74.18333
151740,GWE 5,40.72108,-74.192604
151818,GWE 2,40.720966,-74.19269
151826,Rider U-10,40.277557,-74.73288
151830,Rider U-07,40.279156,-74.73574
151854,Neptune City,40.19622,-74.02967
152170,Monmouth Beach,40.3404,-73.98503
152194,GWE 10,40.721237,-74.19287
152196,GWE-MG1,40.64598,-74.190155
152198,GWE 9,40.72124,-74.19266
152200,GWE 1,40.721123,-74.19338
152202,GWE-2ndST-1,40.653633,-74.183334
152236,GWE 11,40.721264,-74.19263
152242,GWE 4,40.721115,-74.19324
154317,Ewing,40.281,-74.847
155291,BPW,39.393784,-74.39145
155327,NJ State Museum Stinger,40.22101,-74.77336
155809,Campus Town,40.268673,-74.78257
157253,Allendale-LNJALLEN3,41.043392,-74.132904
160323,Hector,40.86112,-74.48296
161511,PURPLEAIR PA - I AIR QUALITY SENSOR Sensu/ Registralion DEVICE - ID 40:F5:20:1E:57:FC,40.984768,-74.011986
164073,Franklin Park Home,40.427475,-74.56368
168109,Inside,40.82194,-74.46981
168607,Morris Plains,40.8365,-74.49377
168619,Aang,40.529396,-74.43711
168727,MainStUSA,39.96569,-74.94563
169495,NJ-in,40.595047,-74.42402
169613,NJ,40.595078,-74.42432
170241,Pip Sensor,40.988297,-74.41531
171061,"33 Pickle Road Califon, NJ 07830",40.73481,-74.76895
171481,Teaneck,40.897774,-74.02789
172655,ChurchillWay,39.722267,-75.24288
173181,Theresa Court,39.973,-74.20209
175723,parents house,40.827602,-74.462105
175987,Englewood,40.890877,-73.96668
176431,"Bridgewater, NJ",40.638042,-74.63739
176747,Stone Harbor,39.05767,-74.75969
177177,Nori's Farm,40.414127,-74.59876
177289,Iris Cir,40.95056,-74.13489
177975,Metzger Garage Lot 7,40.267124,-74.779594
177977,Tcnj facility,40.269966,-74.77331
177985,Isles Climate Corp,40.225124,-74.76593
178231,Phalanx1,40.316463,-74.1373
178251,Old Mill Road,40.15389,-74.050705
178259,Grove / S. Van Dien,40.967484,-74.10654
178421,Grouse Collective,40.523144,-74.6213
178559,"Reading Fleming Intermediate School, 50 Court Street, Flemington, NJ 08822",40.51051,-74.86359
181551,Ridgehood,40.96749,-74.10681
181593,Robbinsville,40.20594,-74.61353
181605,TonyAir,40.500755,-74.42715
181723,Phalanx 2,40.317787,-74.1384
181761,Mountain Ave,40.710083,-74.35658
181877,Closter NJ,40.97912,-73.977005
182063,Ovoda,40.534794,-74.43674
182077,South Lake Drive,40.910984,-74.04196
182107,Mancaroni-Raritan,40.571747,-74.64371
182213,Woodland,39.89894,-75.04521
182277,Princeton Central,40.35344,-74.65051
182311,Manasquan,40.116726,-74.0705
182361,Millbrook Road,40.9383,-74.0408
182465,Near Mercer Mall,40.299103,-74.68693
182793,Ironbound Farm,40.625122,-75.048004
182967,Town Hall Weather,40.555172,-74.27407
183035,"Plainsboro, Cranbury Brook",40.327953,-74.579155
183055,Millington,40.67911,-74.51056
183109,Small Home Exterior,40.80729,-74.20113
183183,Robbinsville,40.20594,-74.61353
183403,Room,40.354866,-74.65099
183411,SJA,41.0034,-74.0444
183531,South Bound Brook,40.55182,-74.53231
183543,Brookfield,39.883522,-75.01567
183563,East_Millstone,40.497444,-74.58344
183577,Montague Valley,41.332745,-74.700264
183833,JMDS-co.,40.81496,-74.20398
183935,"Crestview, Seaville, Upper Twp",39.21962,-74.6911
184007,Laureldale,39.520634,-74.68243
184073,Old Short Hills Rd,40.75997,-74.300644
184627,"Plainsboro, Cranbury Brook",40.32802,-74.57914
184969,SJA,41.00288,-74.04351
185231,Public works,40.481716,-74.48789
185259,Tim,40.342625,-74.06285
185311,Conerly Road School,40.504692,-74.4942
185335,Hillcrest School / Franklin Middle School-Hamilton Street Campus,40.49273,-74.48312
185337,TEECS,40.527706,-74.52225
185339,Claremont Elementary School,40.44476,-74.55271
185341,Elizabeth Avenue School,40.541935,-74.53391
185343,CW_Pool Gazebo,40.523643,-74.56679
185345,MacAfee Road School,40.494175,-74.4989
185351,CJCP_Somerset_101_Mettlers,40.513927,-74.566025
185353,Pine Grove Manor School,40.497887,-74.472626
185357,Franklin Middle School-SGS Campus,40.49596,-74.519714
185367,Board of Education Campus,40.454197,-74.52058
185369,Franklin Park School,40.444553,-74.543365
185375,Rutgers Preparatory School,40.52682,-74.494774
185577,Franklin High School,40.519592,-74.55149
185579,Franklin Township-Canal Walk,40.528145,-74.564705
185583,Somerset_Run,40.52519,-74.53591
186047,Gritty,39.592243,-74.21874
186091,Englewood,40.9008,-73.966644
186139,MtKemble,40.802715,-74.46528
186165,Porch Prospect Ave Princeton NJ,40.35088,-74.645325
186317,JSWC - Point Pleasant Beach,40.08809,-74.052284
186397,Liberty Corner,40.659313,-74.573654
186421,Margate City,39.32506,-74.5028
186493,Closter Buzzoni Farm Park,40.982338,-73.94665
186583,Patti Home,40.858418,-74.193306
187353,Tewksbury,40.728493,-74.75357
188623,Mountain Creek Resort Base - Cobblestone,41.191998,-74.505295
189077,BD_49,40.328976,-74.33443
189283,Princeton IITM,40.335567,-74.641495
189331,UNL_CEE,40.349777,-74.65139
189439,Brightwood Park,40.663185,-74.373085
190153,1028 Prospect St,40.661182,-74.367035
190157,145 Prospect,40.98758,-74.03115
190159,145 Prospect,40.987656,-74.030876
193187,Cherry Hill,39.886745,-74.94767
195437,"Bordentown City, NJ",40.14379,-74.71091
197767,"Florham Park, NJ",40.90152,-74.39392
198241,Engine 19,40.70285,-74.19466
198257,Dep4f9e,40.215134,-74.74965
198267,Clinton Township Middle School,40.64282,-74.895836
198271,DEPtest,40.220886,-74.75693
198283,NJ4ECC,40.22261,-74.76237
198287,RVS,40.653755,-74.82854
198297,Weequahic Park,40.70114,-74.1988
198643,Dining Room,40.81866,-74.184235
198651,Upper saddle River,41.057613,-74.10282
198655,RC_Edgewater,40.810707,-73.984245
198700,Millers,40.850685,-73.98021
199571,Lawrence,40.29988,-74.68849
203189,Middlesex,40.583714,-74.485214
203559,Pierson Hill Rd,40.85454,-74.55431
205275,Kage Neko,40.299572,-74.688705
205833,"Belle Mead, NJ",40.456696,-74.67159
206633,Little Acre,39.52686,-74.518005
208657,173 Werimus,41.024178,-74.06687
208913,Claremont,40.70825,-74.07304
214305,Forrest Hills,39.661423,-74.97617
216763,Princeton Ridge,40.37621,-74.69325
217345,Sbfourthstreet,39.923466,-75.12143
219753,Belleville 01,40.802032,-74.17193
220481,Jersey Shore University Medical Center,40.209553,-74.04229
220733,Gritty,39.592445,-74.21884
221961,SRTM-MI,39.919765,-75.11087
222473,Jersey Shore University Medical Center,40.20957,-74.04227
222509,Harding Dr,40.75836,-74.26673
223335,West Deptford,39.815765,-75.19456
227083,YT home,40.48477,-74.57442
227295,SRTM,39.95412,-75.07253
228955,In the house,40.792133,-74.163605
231661,Rumson,40.356213,-74.01483
232345,Schooleys Mountain,40.791237,-74.83292
233767,Princeton,40.357803,-74.66757
233793,McGillvray Place,40.64456,-74.22267
234477,East Windsor,40.26986,-74.56995
242879,US EPA CASTNET WSP144_242879,40.3123,-74.8727
243025,MexiHouse_02,40.413795,-74.93293
243705,South Face of house,40.79209,-74.163666
249055,WarrenAQ,40.65842,-74.47081
257519,Master Bedroom,40.97857,-74.11744
257639,This is the other place.,40.97866,-74.11762
257717,Ledgewood Indoors,40.867405,-74.658485
262955,McCatharn Rd,40.674557,-74.84158
263287,EZ Test (FIN),40.842293,-74.07955
263301,Test EZ (2),40.842327,-74.079544
263457,Test EZ (3),40.84218,-74.07933
269114,AirBiscuit,40.680264,-74.89277
270726,NJ266B,40.63793,-74.38369
270884,East Brunswick Magnet School,40.423294,-74.39053
271297,YMCA Edison,40.57137,-74.34998
271299,Piscataway Magnet School,40.5259,-74.42386
271321,RWJ Fitness &amp; Wellness: Carteret,40.57837,-74.2196
271389,Darlene C. McKnight 1,40.235245,-74.74381
271391,Perth Amboy Magnet School,40.515587,-74.26245
271419,YMCA Metuchen,40.533585,-74.363014
272130,NJ4AFA,40.221054,-74.76512
272158,NJ261B,40.222168,-74.76367
280292,Duke Farms Cafe Cottage,40.54448,-74.62488
284144,Front garden,40.719227,-74.0478
284768,Flanders,40.83639,-74.651245
285334,CottageAvenueMontvaleNJ,41.038525,-74.01963
285510,Edelman Fossil Park and Museum,39.761585,-75.12759
285972,River Edge,40.93026,-74.036095
288408,Hopatcong Hills,40.9452,-74.66528
288812,Beach Arlington,39.64386,-74.17936
292343,Unity Charter School,40.805897,-74.466805
295099,Waldwick Landscaping,41.05452,-74.132256
